,ID#,clust,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
44,1149,1,34562,0,1,1,1,1770,9,250,3,5622,0
45,1145,1,37215,0,2,1,1,8199,8,0,0,5637,0
46,1144,1,14769,0,1,1,1,500,1,0,0,5639,0
47,1139,1,28223,0,2,1,1,8625,12,0,0,5651,0
48,1134,1,27591,0,1,1,1,8209,34,1800,16,5659,0
49,1161,1,84856,0,1,2,1,6894,13,0,0,5547,0
50,1132,1,33327,0,1,1,1,1000,1,0,0,5664,0
51,1126,1,89945,0,2,1,1,14218,16,350,1,5680,0
52,1121,1,73640,0,2,1,1,10192,14,0,0,5156,0
53,1119,1,22585,0,1,1,1,3430,3,0,0,5689,0
54,1112,1,24545,0,1,1,1,0,0,0,0,5671,0
55,1110,1,42438,0,1,1,1,519,10,0,0,5349,0
56,1109,1,75684,0,2,1,1,27320,9,0,0,5316,0
57,1104,1,19960,0,1,1,1,0,0,0,0,4896,0
58,1130,1,25634,2505,1,1,1,0,0,0,0,5663,0
59,1215,1,2305,0,1,1,1,0,0,0,0,5105,0
60,1163,1,39654,0,1,1,1,1625,6,0,0,5518,0
61,1168,1,23130,0,1,1,1,5032,10,0,0,5500,0
62,1211,1,15964,0,1,1,1,0,0,0,0,5325,0
63,1210,1,11162,0,1,1,1,0,0,0,0,4950,0
64,1209,1,30594,0,1,1,1,3250,12,0,0,5017,0
65,1207,1,13640,0,1,1,1,1500,5,0,0,4923,0
66,1206,1,8320,0,1,1,1,0,0,0,0,5164,0
67,1204,1,19085,0,1,1,1,827,11,0,0,5244,0
68,1203,1,28941,0,1,1,1,2935,6,0,0,4692,0
69,1164,1,25214,0,1,1,1,1000,1,0,0,5598,0
70,1202,1,17489,0,1,1,1,5565,4,0,0,5380,0
71,1196,1,27993,0,1,1,1,6000,3,0,0,5542,0
72,1192,1,4151,0,1,1,1,375,3,0,0,5570,0
73,1191,1,34450,0,1,1,1,26996,7,0,0,5566,0
74,1179,1,46157,0,1,1,1,1625,3,500,1,5609,0
75,1178,1,23120,0,1,1,1,4231,7,0,0,5615,0
76,1173,1,33373,0,1,1,1,0,0,0,0,5427,0
77,1171,1,31769,0,1,1,1,0,0,0,0,5464,0
78,1201,1,6584,0,1,1,1,0,0,0,0,5118,0
79,1103,1,95100,0,1,1,1,1250,3,1250,3,5671,0
80,1310,1,82380,0,1,1,1,2601,13,0,0,5071,0
81,1314,1,23023,0,1,1,1,0,0,0,0,5087,0
82,1440,1,29667,0,1,1,1,5304,19,0,0,4841,0
83,1435,1,18068,0,1,1,1,0,0,0,0,5174,0
84,1430,1,25404,0,1,1,1,2125,7,500,1,5203,0
85,1426,1,9071,0,1,1,1,1647,9,0,0,5225,0
86,1424,1,176982,0,1,1,1,2299,9,0,0,5234,0
87,1423,1,11908,0,1,1,1,0,0,0,0,5240,0
88,1417,1,21393,0,1,1,1,5040,2,0,0,5262,0
89,1446,1,22639,0,1,1,1,1840,4,0,0,5168,0
90,1416,1,43761,0,1,1,1,5398,16,0,0,5268,0
91,1410,1,32061,0,1,1,1,1100,6,0,0,5295,0
92,1407,1,37552,0,1,1,1,100,1,0,0,5340,0
93,1406,1,10689,0,1,1,1,2750,15,0,0,5315,0
94,1405,1,14525,0,1,1,1,4625,28,0,0,5317,0
95,1404,1,11648,0,1,1,1,475,4,0,0,5318,0
96,1403,1,49145,0,1,2,1,12755,22,2450,7,5323,0
97,1401,1,1836,0,1,1,1,850,4,350,3,5329,0
98,1412,1,6000,0,1,1,1,0,0,0,0,5286,0
99,1395,1,57002,0,1,1,1,2570,13,0,0,5350,0
100,1448,1,51402,0,1,1,1,4375,14,0,0,4978,0
101,1453,1,193547,0,1,1,1,3544,12,0,0,5153,0
102,1495,1,30662,0,1,1,1,0,0,0,0,4996,0
103,1490,1,36296,0,1,1,1,5780,6,0,0,4600,0
104,1489,1,13490,0,1,1,1,0,0,0,0,4870,0
105,1486,1,29632,0,1,1,1,0,0,0,0,4898,0
106,1482,1,9795,0,1,1,1,0,0,0,0,4960,0
107,1480,1,33560,0,1,1,1,2600,14,0,0,4604,0
108,1479,1,57330,0,1,1,1,380,3,0,0,4986,0
109,1451,1,18924,0,1,1,1,4000,18,0,0,5168,0
110,1478,1,10740,0,1,1,1,0,0,0,0,4926,0
111,1472,1,46734,0,2,1,1,10007,18,0,0,5080,0
112,1471,1,89835,0,2,1,1,9058,11,0,0,5080,0
113,1468,1,2625,0,1,1,1,125,1,0,0,5087,0
114,1462,1,29342,0,2,1,1,5835,4,0,0,5153,0
115,1461,1,3578,0,1,1,1,0,0,0,0,5114,0
116,1458,1,33964,0,1,1,1,300,3,0,0,5128,0
117,1456,1,66936,2370,1,1,1,3450,5,950,4,5147,0
118,1474,1,50,0,1,1,1,50,1,50,1,5073,0
119,1312,1,107333,0,1,1,1,4374,5,1874,4,5063,0
120,1389,1,17587,0,1,1,1,17587,7,0,0,5367,0
121,1386,1,31786,0,1,1,1,2661,10,0,0,5380,0
122,1348,1,5667,0,1,1,1,5667,4,0,0,4937,0
123,1347,1,40576,0,1,1,1,0,0,0,0,5118,0
124,1346,1,2224,0,1,1,1,0,0,0,0,5098,0
125,1345,1,10069,0,1,1,1,200,1,0,0,4933,0
126,1344,1,9860,0,1,1,1,99,1,99,1,5055,0
127,1343,1,12665,0,1,1,1,4125,24,0,0,4539,0
128,1337,1,21855,0,1,1,1,200,3,0,0,5383,0
129,1349,1,59791,0,1,1,1,3254,7,0,0,4602,0
130,1336,1,25272,0,1,1,1,0,0,0,0,5189,0
131,1325,1,17995,0,1,1,1,0,0,0,0,4994,0
132,1324,1,31484,0,1,1,1,3125,11,0,0,4117,0
133,1322,1,6112,0,1,1,1,0,0,0,0,5072,0
134,1321,1,64969,0,1,1,1,1135,13,0,0,4996,0
135,1320,1,27243,0,2,1,1,6785,12,0,0,4606,0
136,1317,1,128676,0,1,1,1,8500,3,0,0,5164,0
137,1316,1,15719,0,2,1,1,5740,13,0,0,4974,0
138,1331,1,22132,0,1,1,1,0,0,0,0,5150,0
139,1388,1,5824,0,1,1,1,0,0,0,0,5401,0
140,1351,1,126947,0,1,1,1,2350,2,350,1,5167,0
141,1355,1,62942,500,1,1,1,4752,8,2121,6,5070,0
142,1384,1,16866,0,1,1,1,0,0,0,0,5072,0
143,1382,1,45412,0,1,1,1,1100,3,1100,3,5163,0
144,1381,1,1000,0,1,1,1,0,0,0,0,4769,0
145,1380,1,56308,0,1,1,1,2500,3,1000,2,4688,0
146,1379,1,15439,0,1,1,1,490,3,0,0,5147,0
147,1378,1,54189,0,2,1,1,8940,17,0,0,4791,0
148,1376,1,200,0,1,1,1,200,1,200,1,5254,0
149,1353,1,38604,0,1,1,1,625,5,0,0,5184,0
150,1374,1,45031,0,1,1,1,1000,1,0,0,5227,0
151,1372,1,46545,1000,1,1,1,0,0,0,0,5066,0
152,1369,1,153197,0,2,1,1,14712,17,100,1,5189,0
153,1368,1,97155,0,2,1,1,10004,3,0,0,5244,0
154,1363,1,105458,0,1,1,1,750,4,700,2,4924,0
155,1359,1,5320,0,1,1,1,2275,9,0,0,5084,0
156,1358,1,38671,0,1,1,1,2200,9,1000,5,5192,0
157,1356,1,33057,763,1,1,1,5190,5,0,0,4828,0
158,1373,1,7354,0,1,1,1,0,0,0,0,5050,0
159,1102,1,92641,0,1,1,1,5265,6,0,0,5568,0
160,1101,1,34546,0,1,1,1,1500,2,0,0,5612,0
161,1100,1,82120,0,1,1,1,8000,3,0,0,5619,0
162,814,1,12024,0,1,1,1,0,0,0,0,5119,0
163,812,1,5594,0,1,1,1,370,1,0,0,5835,0
164,811,1,17599,0,1,1,1,100,1,0,0,6029,0
165,804,1,55610,0,1,2,1,5095,13,0,0,6151,0
166,796,1,8207,0,1,1,1,1750,7,0,0,6184,0
167,795,1,146097,0,2,1,1,6919,16,0,0,6165,0
168,793,1,19032,0,1,1,1,2375,12,0,0,6169,0
169,819,1,1258,0,1,1,1,475,4,0,0,6134,0
170,788,1,63587,0,1,1,1,500,1,500,1,6184,0
171,785,1,23431,0,1,1,1,3546,10,0,0,6182,0
172,781,1,194604,0,2,1,1,6606,10,0,0,6190,0
173,780,1,18035,0,1,1,1,811,2,0,0,6193,0
174,776,1,14662,0,1,1,1,1110,12,0,0,6197,0
175,772,1,21334,0,1,1,1,5472,20,0,0,6200,0
176,771,1,14988,0,1,1,1,2100,10,0,0,6203,0
177,765,1,26740,0,1,1,1,619,7,0,0,6213,0
178,787,1,245758,0,1,1,1,2750,4,750,2,6179,0
179,762,1,106471,0,1,1,1,8444,5,100,1,6220,0
180,820,1,75181,0,1,1,1,2455,7,1100,3,6133,0
181,827,1,3832,0,1,1,1,1000,1,0,0,6120,0
182,885,1,16906,0,1,1,1,2750,15,0,0,6017,0
183,884,1,40902,0,1,1,1,4850,7,1350,5,6018,0
184,878,1,61440,0,2,1,1,8156,25,0,0,6032,0
185,874,1,93319,0,1,1,1,270,3,100,1,6043,0
186,868,1,58620,0,1,1,1,2125,10,0,0,6051,0
187,867,1,79629,0,1,1,1,2550,2,50,1,6091,0
188,863,1,6371,0,1,1,1,1404,8,0,0,5905,0
189,826,1,64538,0,1,1,1,0,0,0,0,6123,0
190,859,1,20126,0,1,1,1,0,0,0,0,6053,0
191,856,1,34854,0,1,1,1,750,5,650,4,6063,0
192,854,1,75027,0,1,1,1,1390,3,500,1,6067,0
193,848,1,16528,0,1,1,1,250,2,0,0,6081,0
194,837,1,48321,0,1,1,1,0,0,0,0,6102,0
195,834,1,54265,0,1,1,1,0,0,0,0,6109,0
196,831,1,179382,0,1,1,1,4225,7,0,0,6115,0
197,829,1,36790,0,1,1,1,7158,14,0,0,6133,0
198,857,1,44307,0,2,1,1,7944,8,0,0,6060,0
199,887,1,10152,0,1,1,1,0,0,0,0,6010,0
200,759,1,20810,0,1,1,1,1713,13,0,0,6225,0
201,757,1,131528,0,2,1,1,10365,17,500,1,6227,0
202,696,1,31211,0,1,1,1,280,4,100,1,6330,0
203,694,1,37381,0,1,1,1,6091,16,0,0,6332,0
204,690,1,9483,0,1,1,1,1000,1,0,0,6340,0
205,689,1,146248,0,1,1,1,2900,4,1400,3,6333,0
206,681,1,18661,0,1,1,1,0,0,0,0,6352,0
207,678,1,10491,0,1,1,1,5025,11,150,1,6357,0
208,677,1,55237,0,2,1,1,5547,14,0,0,6358,0
209,700,1,20162,0,1,1,1,2750,15,0,0,6324,0
210,676,1,16061,0,1,1,1,2750,11,0,0,6366,0
211,665,1,50500,0,1,1,1,4765,14,0,0,6380,0
212,664,1,25685,0,1,1,1,185,3,0,0,6382,0
213,663,1,33269,0,1,1,1,4675,10,200,1,6396,0
214,657,1,3487,0,1,1,1,710,1,0,0,6059,0
215,655,1,16714,0,1,1,1,0,0,0,0,6214,0
216,654,1,15496,0,1,1,1,0,0,0,0,6324,0
217,653,1,10484,0,1,1,1,0,0,0,0,6375,0
218,670,1,28306,0,1,1,1,233,3,0,0,6371,0
219,758,1,11820,0,1,1,1,2045,5,0,0,6227,0
220,704,1,17334,0,1,1,1,6783,27,50,1,6318,0
221,706,1,17949,0,1,1,1,0,0,0,0,6312,0
222,756,1,79561,0,1,1,1,6333,12,400,2,6231,0
223,752,1,37162,0,1,1,1,0,0,0,0,6241,0
224,748,1,35026,0,1,1,1,9799,27,500,1,6247,0
225,747,1,41967,0,1,1,1,2125,10,0,0,6247,0
226,745,1,104665,0,2,1,1,9547,12,0,0,6249,0
227,743,1,33410,0,1,1,1,818,12,0,0,6255,0
228,742,1,21270,0,1,1,1,318,10,0,0,6256,0
229,705,1,57909,0,1,1,1,5150,4,0,0,6323,0
230,739,1,1875,0,1,1,1,1250,3,0,0,6266,0
231,730,1,65466,0,2,1,1,5488,13,0,0,6280,0
232,729,1,50675,0,1,1,1,1100,2,100,1,6282,0
233,722,1,21616,0,1,1,1,0,0,0,0,6291,0
234,719,1,16803,0,1,1,1,1287,6,0,0,6291,0
235,717,1,30973,0,1,1,1,0,0,0,0,6298,0
236,710,1,61598,0,1,1,1,0,0,0,0,6311,0
237,708,1,71543,0,1,1,1,0,0,0,0,6305,0
238,734,1,9157,0,1,1,1,75,2,0,0,6274,0
239,889,1,28979,0,2,1,1,6494,12,0,0,6010,0
240,890,1,24711,0,1,1,1,3193,11,500,1,6009,0
241,893,1,37832,0,1,1,1,0,0,0,0,6004,0
242,1035,1,27348,0,1,1,1,3084,4,0,0,5824,0
243,1034,1,7800,0,1,1,1,200,1,0,0,5787,0
244,1032,1,81300,0,1,1,1,3750,5,250,3,5791,0
245,1030,1,71627,0,1,1,1,3225,9,600,2,5793,0
246,1025,1,96827,1094,1,1,1,12100,19,8100,17,5801,0
247,1023,1,52577,0,1,1,1,441,12,0,0,5804,0
248,1022,1,54392,0,1,1,1,0,0,0,0,5807,0
249,1037,1,42990,0,1,1,1,5345,3,0,0,5804,0
250,1019,1,25463,0,2,1,1,7973,14,0,0,5813,0
251,1016,1,124004,0,2,1,1,9982,12,0,0,5815,0
252,1015,1,114070,0,2,1,1,16293,24,250,1,5818,0
253,1013,1,330644,0,1,1,1,0,0,0,0,5822,0
254,1007,1,7560,0,1,1,1,0,0,0,0,5833,0
255,1001,1,15241,0,1,1,1,0,0,0,0,5840,0
256,996,1,70671,0,1,1,1,0,0,0,0,5850,0
257,993,1,24310,0,1,1,1,2815,6,0,0,5266,0
258,1017,1,10497,0,1,1,1,0,0,0,0,5815,0
259,992,1,155587,0,1,1,1,6893,9,0,0,5279,0
260,1041,1,43326,0,1,1,1,1100,7,1100,7,5776,0
261,1046,1,170049,3692,2,1,1,10232,16,750,2,5770,0
262,1098,1,75428,0,2,1,1,7539,14,0,0,5609,0
263,1094,1,8719,0,1,1,1,2000,9,0,0,5671,0
264,1093,1,88500,0,1,1,1,2500,2,0,0,5090,0
265,1088,1,16992,0,1,1,1,0,0,0,0,5582,0
266,1086,1,1057,0,1,1,1,433,5,0,0,5622,0
267,1085,1,70877,0,2,1,1,8956,15,0,0,5696,0
268,1083,1,25168,0,1,1,1,500,1,500,1,5547,0
269,1045,1,33835,0,1,1,1,2280,7,1000,2,5771,0
270,1073,1,96988,0,2,1,1,7761,14,0,0,5715,0
271,1070,1,161546,0,1,1,1,8042,6,600,2,5722,0
272,1062,1,44026,0,2,1,1,12282,18,634,1,5738,0
273,1061,1,14106,0,1,1,1,475,4,0,0,5749,0
274,1056,1,9793,0,1,1,1,3100,2,0,0,5755,0
275,1052,1,78268,0,1,1,1,6172,13,500,1,5758,0
276,1051,1,11031,0,1,1,1,1600,5,0,0,5762,0
277,1049,1,67904,0,1,1,1,81,1,0,0,5764,0
278,1071,1,38884,0,1,1,1,2850,13,500,1,5729,0
279,987,1,20498,0,1,1,1,7826,20,7226,18,5491,0
280,985,1,2117,0,1,1,1,769,7,0,0,5609,0
281,984,1,61227,0,2,1,1,6957,10,0,0,5647,0
282,923,1,4600,0,1,1,1,140,1,0,0,5959,0
283,921,1,2111,0,1,1,1,100,1,0,0,5962,0
284,919,1,20281,0,1,1,1,0,0,0,0,5567,0
285,918,1,967,0,1,1,1,980,2,0,0,5716,0
286,917,1,32141,0,1,1,1,3500,14,0,0,5768,0
287,914,1,120476,0,2,1,1,9406,14,0,0,5870,0
288,913,1,143378,0,1,1,1,3000,4,1500,3,5905,0
289,924,1,23390,0,1,1,1,1650,3,150,1,5958,0
290,910,1,115533,0,2,1,1,8867,15,0,0,5968,0
291,908,1,26204,967,1,1,1,4030,6,2930,4,5989,0
292,907,1,218763,8753,1,1,1,11650,6,1150,3,5975,0
293,906,1,54337,0,1,1,1,2131,9,230,1,5976,0
294,905,1,1860,0,1,1,1,65,2,0,0,5976,0
295,903,1,104338,0,1,1,1,2500,1,0,0,5982,0
296,901,1,132256,0,2,1,1,15040,24,899,3,5988,0
297,899,1,444159,0,1,1,1,0,0,0,0,5993,0
298,909,1,27876,0,1,1,1,0,0,0,0,5972,0
299,929,1,266200,0,1,1,1,5000,1,0,0,5583,0
300,931,1,25512,0,1,1,1,0,0,0,0,5393,0
301,932,1,28519,0,1,1,1,2125,2,0,0,5405,0
302,981,1,15108,0,1,1,1,2850,16,0,0,5876,0
303,978,1,11782,0,1,1,1,0,0,0,0,5864,0
304,972,1,11030,0,1,1,1,0,0,0,0,5884,0
305,971,1,13720,0,1,1,1,0,0,0,0,5884,0
306,968,1,17778,0,1,1,1,0,0,0,0,5897,0
307,967,1,11447,0,1,1,1,1945,13,0,0,5902,0
308,963,1,37571,0,2,1,1,7197,15,0,0,5762,0
309,962,1,144525,0,1,1,1,2833,4,0,0,5785,0
310,961,1,45781,0,2,1,1,6498,13,0,0,5801,0
311,960,1,20342,0,1,1,1,3291,9,0,0,5829,0
312,956,1,130356,0,1,1,1,150,1,150,1,5910,0
313,954,1,31319,0,1,1,1,7552,5,0,0,5912,0
314,942,1,17336,0,1,1,1,2375,12,0,0,5934,0
315,940,1,34428,0,1,1,1,2625,10,0,0,5938,0
316,939,1,152426,0,1,1,1,6000,6,2000,4,5939,0
317,938,1,17739,0,1,1,1,437,4,0,0,5941,0
318,935,1,49736,0,1,1,1,3200,4,700,3,6038,0
319,1497,1,24266,0,1,1,1,2375,12,0,0,4111,0
320,652,1,49891,0,1,1,1,500,1,500,1,6392,0
321,1499,1,42275,925,1,1,1,4100,6,1600,5,4712,0
322,1502,1,30486,0,1,1,1,0,0,0,0,5051,0
323,2005,1,6978,0,1,1,1,610,3,0,0,4349,0
324,2003,1,115385,0,1,1,1,5890,15,1250,7,4546,0
325,2002,1,14304,0,1,1,1,0,0,0,0,4600,0
326,2001,1,35080,3867,1,1,1,0,0,0,0,4562,0
327,2000,1,95925,0,1,1,1,7337,22,350,2,4625,0
328,1999,1,30306,0,1,1,1,2500,1,0,0,4309,0
329,1998,1,133831,0,1,1,1,100,1,100,1,4588,0
330,2006,1,39909,0,1,1,1,2682,14,0,0,4470,0
331,1996,1,5316,0,1,1,1,1134,4,0,0,4610,0
332,1993,1,11961,0,1,2,1,11961,10,0,0,4646,0
333,1990,1,14273,0,1,1,1,0,0,0,0,4341,0
334,1989,1,66456,0,1,1,1,3500,4,1000,2,4679,0
335,1988,1,76077,0,1,1,1,500,4,0,0,4616,0
336,1987,1,73639,0,1,1,1,4709,10,2709,9,4341,0
337,1984,1,93743,0,1,1,1,1210,7,650,5,4676,0
338,1981,1,16176,0,1,1,1,0,0,0,0,4170,0
339,1995,1,20678,0,1,1,1,2155,8,0,0,3862,0
340,1980,1,26421,0,1,1,1,1250,3,0,0,4593,0
341,2007,1,8767,0,1,1,1,6589,8,3892,6,4394,0
342,2012,1,8780,0,1,1,1,2750,15,0,0,4237,0
343,2052,1,121992,6057,1,1,1,3200,4,600,2,4257,0
344,2051,1,20789,0,1,1,1,0,0,0,0,4279,0
345,2049,1,93848,0,1,1,1,1600,4,1500,3,4475,0
346,2048,1,36227,0,2,1,1,7230,14,0,0,3736,0
347,2046,1,96154,0,1,1,1,7052,15,0,0,4433,0
348,2044,1,75179,0,1,1,1,1015,2,0,0,4118,0
349,2043,1,144697,0,1,1,1,2000,1,0,0,4420,0
350,2011,1,2344,0,1,1,1,1478,10,0,0,4481,0
351,2034,1,57474,0,2,1,1,5535,7,0,0,4364,0
352,2030,1,23997,0,1,1,1,250,2,250,2,4204,0
353,2025,1,7371,0,1,1,1,1375,4,0,0,4505,0
354,2024,1,34182,0,1,1,1,0,0,0,0,3967,0
355,2023,1,101901,0,1,2,1,17898,22,100,1,4433,0
356,2022,1,3056,0,1,1,1,1200,3,0,0,4363,0
357,2017,1,76387,0,1,1,1,3588,7,0,0,4442,0
358,2013,1,111064,0,1,1,1,12700,7,2700,6,4547,0
359,2031,1,37202,0,1,1,1,15000,4,0,0,4511,0
360,2053,1,37911,0,1,1,1,2250,11,0,0,4385,0
361,1979,1,12207,0,1,1,1,0,0,0,0,4565,0
362,1974,1,19896,2395,2,1,1,9866,11,0,0,4602,0
363,1919,1,39139,0,1,1,1,710,4,0,0,3967,0
364,1918,1,30300,0,1,1,1,2160,7,0,0,4002,0
365,1917,1,11925,0,1,1,1,400,4,400,4,4015,0
366,1915,1,5112,0,1,1,1,0,0,0,0,4020,0
367,1914,1,3962,0,1,1,1,292,8,0,0,4027,0
368,1913,1,20534,0,1,1,1,589,7,0,0,4021,0
369,1912,1,225665,0,1,1,1,4288,15,500,1,4048,0
370,1920,1,52440,0,1,1,1,500,1,0,0,4026,0
371,1908,1,8647,0,1,1,1,0,0,0,0,4036,0
372,1905,1,74147,0,2,1,1,8315,16,50,1,4064,0
373,1903,1,16489,0,1,1,1,4851,27,0,0,4064,0
374,1901,1,12766,0,1,1,1,1900,4,400,2,4072,0
375,1897,1,56017,0,1,1,1,3905,6,1668,1,4086,0
376,1896,1,3664,0,1,1,1,0,0,0,0,4089,0
377,1892,1,6206,0,1,1,1,375,3,0,0,4107,0
378,1890,1,35433,0,1,1,1,1600,3,0,0,4113,0
379,1906,1,24887,0,1,1,1,0,0,0,0,4047,0
380,1976,1,65533,0,2,1,1,7595,10,0,0,4544,0
381,1921,1,23329,0,1,1,1,6326,3,0,0,4008,0
382,1925,1,9052,0,1,1,1,280,2,0,0,3987,0
383,1964,1,8000,0,1,1,1,2250,11,0,0,3879,0
384,1962,1,32160,0,1,1,1,1130,6,250,1,3883,0
385,1961,1,38439,0,1,1,1,3318,13,0,0,3886,0
386,1957,1,56213,0,1,1,1,3207,14,350,1,3900,0
387,1955,1,24407,0,1,1,1,923,10,0,0,3910,0
388,1952,1,50586,0,1,1,1,0,0,0,0,3902,0
389,1950,1,11355,0,1,1,1,135,3,0,0,3916,0
390,1923,1,53487,0,1,1,1,0,0,0,0,3991,0
391,1948,1,14231,0,1,1,1,4950,24,1700,5,3917,0
392,1945,1,3082,0,1,1,1,0,0,0,0,3923,0
393,1944,1,39947,0,1,1,1,1750,7,0,0,3922,0
394,1943,1,10355,0,2,1,1,6510,10,0,0,3918,0
395,1942,1,12184,0,1,1,1,1160,3,0,0,3939,0
396,1935,1,52139,0,1,3,1,16314,14,250,1,3965,0
397,1932,1,59035,0,1,1,1,245,4,0,0,3960,0
398,1929,1,150312,0,1,1,1,1000,1,0,0,3967,0
399,1946,1,37563,0,2,1,1,8142,14,0,0,3925,0
400,1886,1,27669,0,1,1,1,3375,20,0,0,4127,0
401,2057,1,90526,0,1,1,1,2000,9,0,0,4488,0
402,2062,1,31360,0,1,1,1,821,7,0,0,4488,0
403,2209,1,112891,0,1,1,1,500,1,500,1,3909,0
404,2207,1,61617,0,2,1,1,23495,13,0,0,3972,0
405,2201,1,109268,0,2,1,1,7401,17,750,1,4034,0
406,2200,1,10872,0,1,1,1,4500,27,0,0,3882,0
407,2196,1,161579,0,1,1,1,7688,21,5688,20,3811,0
408,2195,1,35425,0,1,1,1,4125,19,0,0,3834,0
409,2191,1,68243,0,2,1,1,10012,22,903,3,3888,0
410,2217,1,12271,500,2,1,1,7684,15,1000,2,4219,0
411,2187,1,81552,0,2,1,1,7703,8,0,0,3855,0
412,2182,1,36736,0,1,1,1,0,0,0,0,4134,0
413,2181,1,3522,0,1,1,1,3522,4,0,0,3916,0
414,2177,1,53957,0,1,1,1,7000,4,500,1,4133,0
415,2176,1,18700,0,1,1,1,870,2,0,0,3995,0
416,2175,1,111793,0,1,1,1,500,1,0,0,4057,0
417,2172,1,89840,0,2,1,1,7048,14,0,0,3819,0
418,2171,1,36294,0,1,1,1,0,0,0,0,3956,0
419,2185,1,245045,0,1,1,1,25039,16,500,1,4173,0
420,2170,1,184301,0,1,1,1,6454,13,3954,12,4010,0
421,2225,1,65519,0,1,1,1,0,0,0,0,4150,0
422,2246,1,11548,0,1,1,1,1634,7,0,0,3837,0
423,2339,1,49807,0,2,1,1,6393,20,0,0,3718,0
424,2320,1,27135,0,1,1,1,4908,11,0,0,3783,0
425,2318,1,128620,0,2,1,1,7747,12,0,0,3789,0
426,2317,1,27904,0,2,1,1,6622,17,0,0,3793,0
427,2314,1,24277,0,2,1,1,5330,5,0,0,3796,0
428,2307,1,85496,0,1,1,1,2799,7,2711,6,3820,0
429,2304,1,44197,0,1,1,1,2500,1,0,0,3831,0
430,2239,1,33017,0,1,1,1,1069,7,250,1,3814,0
431,2303,1,62023,0,1,1,1,750,4,550,1,3819,0
432,2300,1,65263,0,1,1,1,22500,4,0,0,3844,0
433,2298,1,22548,0,1,1,1,3225,9,0,0,3852,0
434,2297,1,105957,0,1,1,1,4881,12,0,0,3859,0
435,2296,1,30171,0,1,3,1,15370,13,0,0,3853,0
436,2289,1,34072,0,1,1,1,500,1,0,0,3879,0
437,2280,1,141594,0,2,1,1,30565,16,0,0,3776,0
438,2249,1,25080,0,1,1,1,2060,12,0,0,3795,0
439,2302,1,35203,0,1,1,1,1800,16,1800,16,3832,0
